priority,url,file,language,page_type,in_sitemap,gsc_clicks,gsc_impressions,gsc_ctr,gsc_position,primary_keyword,supporting_keywords,title,title_length,meta_description_length,h1,word_count,issues,recommendations
P1,https://anyconverter.io/da/number-to-words/,da\number-to-words\index.html,da,tool,yes,0,3,0%,8.33,Tal til Ord Konverter,,Tal til Ord Konverter Online Gratis | AnyConverter,50,158,Tal til Ord Konverter,289,Thin visible content (289 words); No reliable matched GSC query data yet,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use the page title/URL as the primary keyword, then add examples and internal links to help Google understand the page. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,https://anyconverter.io/da/tip-calculator/,da\tip-calculator\index.html,da,tool,yes,0,3,0%,7.67,Drikkepenge Beregner,,Drikkepenge Beregner Online Gratis | AnyConverter,49,143,Drikkepenge Beregner,373,Thin visible content (373 words); No reliable matched GSC query data yet,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use the page title/URL as the primary keyword, then add examples and internal links to help Google understand the page. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,https://anyconverter.io/lorem-ipsum-generator/,lorem-ipsum-generator\index.html,en,tool,yes,0,3,0%,40,Lorem Ipsum Generator,,Lorem Ipsum Generator Online Free | AnyConverter,48,147,Lorem Ipsum Generator,406,Thin visible content (406 words); No reliable matched GSC query data yet,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use the page title/URL as the primary keyword, then add examples and internal links to help Google understand the page. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,https://anyconverter.io/terms/,terms\index.html,en,support,yes,0,3,0%,2.33,Terms of Service —,,Terms of Service — AnyConverter,31,17,Terms of Service,611,,Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment.
P1,http://anyconverter.io/es/jwt-decoder/,,es,tool,no,0,2,0%,58,HTTPS canonical,,,,,,,HTTP variant appeared in GSC,Force HTTP to HTTPS in Cloudflare and validate the HTTPS page in GSC.
P1,http://anyconverter.io/es/morse-code-converter/,,es,tool,no,1,2,50%,6,HTTPS canonical,,,,,,,HTTP variant appeared in GSC,Force HTTP to HTTPS in Cloudflare and validate the HTTPS page in GSC.
P1,http://anyconverter.io/image-compressor/,,en,tool,no,0,2,0%,24.5,HTTPS canonical,,,,,,,HTTP variant appeared in GSC,Force HTTP to HTTPS in Cloudflare and validate the HTTPS page in GSC.
P1,https://anyconverter.io/blog/,blog\index.html,en,support,yes,0,2,0%,5.5,"Blog — Tips, Guides & Updates",,"Blog — Tips, Guides & Updates | AnyConverter",44,143,"Tips, Guides & Updates",270,,Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment.
P1,https://anyconverter.io/da/ascii-art-generator/,da\ascii-art-generator\index.html,da,tool,yes,0,2,0%,4,ASCII Kunst Generator,,ASCII Kunst Generator Online Gratis | AnyConverter,50,152,ASCII Kunst Generator,334,Thin visible content (334 words); No reliable matched GSC query data yet,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use the page title/URL as the primary keyword, then add examples and internal links to help Google understand the page. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,https://anyconverter.io/da/daily-planner/,da\daily-planner\index.html,da,tool,yes,0,2,0%,26,planner daily online,,Daglig Planlægger Online Gratis | AnyConverter,46,158,Daglig Planlægger Online,222,Thin visible content (222 words); Primary GSC keyword not fully aligned on-page,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use 'planner daily online' naturally in the title/meta/H1 or first SEO section where it reads well. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,https://anyconverter.io/da/fancy-text-generator/,da\fancy-text-generator\index.html,da,tool,yes,0,2,0%,7,Fancy Tekst Generator,,Fancy Tekst Generator Online Gratis | AnyConverter,50,134,Fancy Tekst Generator,341,Thin visible content (341 words); No reliable matched GSC query data yet,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use the page title/URL as the primary keyword, then add examples and internal links to help Google understand the page. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,https://anyconverter.io/da/text-repeater/,da\text-repeater\index.html,da,tool,yes,0,2,0%,5,text repeater online,,Tekstgentagelse Online Gratis | AnyConverter,44,121,Tekstgentagelse,251,Thin visible content (251 words); Primary GSC keyword not fully aligned on-page,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use 'text repeater online' naturally in the title/meta/H1 or first SEO section where it reads well. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,https://anyconverter.io/es/internet-speed-test/,es\internet-speed-test\index.html,es,tool,yes,0,2,0%,6.5,internet speed test online,free internet speed test; online test internet speed; internet speed test free; internet test speed online,Prueba de Velocidad de Internet Online Gratis | AnyConverter,60,144,Prueba de Velocidad de Internet,328,Thin visible content (328 words); Primary GSC keyword not fully aligned on-page,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use 'internet speed test online' naturally in the title/meta/H1 or first SEO section where it reads well. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,https://anyconverter.io/es/morse-code-converter/,es\morse-code-converter\index.html,es,tool,yes,0,2,0%,4.5,Convertidor de Código Morse,,Convertidor de Código Morse Online Gratis | AnyConverter,56,150,Convertidor de Código Morse,358,Thin visible content (358 words); No reliable matched GSC query data yet,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use the page title/URL as the primary keyword, then add examples and internal links to help Google understand the page. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,https://anyconverter.io/es/password-generator/,es\password-generator\index.html,es,tool,yes,0,2,0%,5,Generador de Contraseñas,,Generador de Contraseñas Online Gratis | AnyConverter,53,160,Generador de Contraseñas,437,Thin visible content (437 words); No reliable matched GSC query data yet,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use the page title/URL as the primary keyword, then add examples and internal links to help Google understand the page. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,https://anyconverter.io/es/screen-resolution/,es\screen-resolution\index.html,es,tool,yes,0,2,0%,7,screen resolution checker,,Comprobador de Resolución de Pantalla | AnyConverter,52,137,Comprobador de Resolución de Pantalla,333,Thin visible content (333 words); Primary GSC keyword not fully aligned on-page,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use 'screen resolution checker' naturally in the title/meta/H1 or first SEO section where it reads well. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,https://anyconverter.io/password-generator/,password-generator\index.html,en,tool,yes,0,2,0%,37.5,strong password checker,,Password Generator Online Free | AnyConverter,45,153,Password Generator,434,Thin visible content (434 words); Primary GSC keyword not fully aligned on-page,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use 'strong password checker' naturally in the title/meta/H1 or first SEO section where it reads well. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,https://anyconverter.io/privacy/,privacy\index.html,en,support,yes,0,2,0%,5.5,Privacy Policy —,,Privacy Policy — AnyConverter,29,12,Privacy Policy,674,,Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment.
P1,https://anyconverter.io/about/,about\index.html,en,support,yes,0,1,0%,6,About Us —,,About Us — AnyConverter | Free Online Tools,43,150,Built for Everyone. Free Forever.,395,,Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment.
P1,https://anyconverter.io/countdown-timer/,countdown-timer\index.html,en,tool,yes,0,1,0%,1,Countdown Timer,,Countdown Timer Online Free | AnyConverter,42,160,Countdown Timer Online,261,Thin visible content (261 words); No reliable matched GSC query data yet,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use the page title/URL as the primary keyword, then add examples and internal links to help Google understand the page. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,https://anyconverter.io/da/css-gradient-generator/,da\css-gradient-generator\index.html,da,tool,yes,0,1,0%,11,CSS Gradient Generator,,CSS Gradient Generator Online Gratis | AnyConverter,51,144,CSS Gradient Generator,320,Thin visible content (320 words); No reliable matched GSC query data yet,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use the page title/URL as the primary keyword, then add examples and internal links to help Google understand the page. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,https://anyconverter.io/da/mouse-tester/,da\mouse-tester\index.html,da,tool,yes,0,1,0%,6,Musetest,,Musetest Online Gratis | AnyConverter,37,12,Musetest,193,Meta description short (12); Thin visible content (193 words); No reliable matched GSC query data yet,"Expand meta description with use case, privacy/no-signup benefit, and primary keyword. Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use the page title/URL as the primary keyword, then add examples and internal links to help Google understand the page. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,https://anyconverter.io/da/password-strength-checker/,da\password-strength-checker\index.html,da,tool,yes,0,1,0%,8,password strength checker,,Adgangskode Styrke Tjekker Online Gratis | AnyConverter,55,132,Adgangskode Styrke Tjekker,349,Thin visible content (349 words); Primary GSC keyword not fully aligned on-page,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use 'password strength checker' naturally in the title/meta/H1 or first SEO section where it reads well. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,https://anyconverter.io/da/text-case-converter/,da\text-case-converter\index.html,da,tool,yes,0,1,0%,10,Tekst Store/Små Bogstaver Konverter,,Tekst Store/Små Bogstaver Konverter Online Gratis | AnyConverter,64,145,Tekst Store/Små Bogstaver Konverter,403,Thin visible content (403 words); No reliable matched GSC query data yet,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use the page title/URL as the primary keyword, then add examples and internal links to help Google understand the page. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,https://anyconverter.io/es/about/,es\about\index.html,es,support,yes,0,1,0%,26,Sobre Nosotros —,,Sobre Nosotros — AnyConverter | Herramientas Online Gratuitas,61,151,Construido para Todos. Gratis para Siempre.,427,,Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment.
P1,https://anyconverter.io/es/decision-maker/,es\decision-maker\index.html,es,tool,yes,0,1,0%,7,decision maker generator,,Tomador de Decisiones — ¿No Puedes Decidir? | AnyConverter,58,146,Tomador de Decisiones Online,255,Thin visible content (255 words); Primary GSC keyword not fully aligned on-page,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use 'decision maker generator' naturally in the title/meta/H1 or first SEO section where it reads well. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,https://anyconverter.io/es/loan-calculator/,es\loan-calculator\index.html,es,tool,yes,0,1,0%,5,Calculadora de Préstamos y EMI,,Calculadora de Préstamos y EMI Online Gratis | AnyConverter,59,138,Calculadora de Préstamos / EMI,475,Thin visible content (475 words); No reliable matched GSC query data yet,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use the page title/URL as the primary keyword, then add examples and internal links to help Google understand the page. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,https://anyconverter.io/es/stopwatch/,es\stopwatch\index.html,es,tool,yes,0,1,0%,10,Cronómetro,,Cronómetro Online Gratis | AnyConverter,39,136,Cronómetro Online,257,Thin visible content (257 words); No reliable matched GSC query data yet,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use the page title/URL as the primary keyword, then add examples and internal links to help Google understand the page. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,https://anyconverter.io/es/viewport-size/,es\viewport-size\index.html,es,tool,yes,0,1,0%,7,viewport size,viewport size checker,Comprobador de Tamaño de Ventana Online Gratis | AnyConverter,61,153,Comprobador de Tamaño de Ventana,321,Thin visible content (321 words); Primary GSC keyword not fully aligned on-page,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use 'viewport size' naturally in the title/meta/H1 or first SEO section where it reads well. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,https://anyconverter.io/fancy-text-generator/,fancy-text-generator\index.html,en,tool,yes,0,1,0%,6,Fancy Text Generator,,Fancy Text Generator Online Free | AnyConverter,47,155,Fancy Text Generator,356,Thin visible content (356 words); No reliable matched GSC query data yet,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use the page title/URL as the primary keyword, then add examples and internal links to help Google understand the page. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,https://anyconverter.io/stopwatch/,stopwatch\index.html,en,tool,yes,0,1,0%,9,Stopwatch,,Stopwatch Online Free | AnyConverter,36,138,Stopwatch Online,228,Thin visible content (228 words); No reliable matched GSC query data yet,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use the page title/URL as the primary keyword, then add examples and internal links to help Google understand the page. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,https://anyconverter.io/text-diff-checker/,text-diff-checker\index.html,en,tool,yes,0,1,0%,11,Text Diff Checker,,Text Diff Checker Online Free | AnyConverter,44,132,Text Diff Checker,436,Thin visible content (436 words); No reliable matched GSC query data yet,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use the page title/URL as the primary keyword, then add examples and internal links to help Google understand the page. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,https://anyconverter.io/unlock-pdf/,unlock-pdf\index.html,en,tool,yes,0,1,0%,8,Unlock PDF — Remove Password,,Unlock PDF — Remove Password Online Free | AnyConverter,55,157,Unlock PDF — Remove Password,234,Thin visible content (234 words); No reliable matched GSC query data yet,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use the page title/URL as the primary keyword, then add examples and internal links to help Google understand the page. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,https://anyconverter.io/anyconverter_ui_mockup.html,anyconverter_ui_mockup.html,en,non-indexable-fragment,no,,,,,Do not index,,,0,0,,395,Root HTML fragment is not a complete SEO page,Keep redirected to homepage or move outside public root; do not index as a standalone page.
P1,https://anyconverter.io/high_demand_frontend_tools.html,high_demand_frontend_tools.html,en,non-indexable-fragment,no,,,,,Do not index,,,0,0,,369,Root HTML fragment is not a complete SEO page,Keep redirected to homepage or move outside public root; do not index as a standalone page.
P2,https://anyconverter.io/internet-speed-test/,internet-speed-test\index.html,en,tool,yes,0,393,0%,79.63,internet speed test online,free internet speed test; online test internet speed; internet speed test free; internet test speed online,Internet Speed Test Online Free | AnyConverter,46,151,Internet Speed Test,306,Thin visible content (306 words); Primary GSC keyword not fully aligned on-page,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use 'internet speed test online' naturally in the title/meta/H1 or first SEO section where it reads well. High-impression but low-rank page: improve content depth and add contextual internal links from related pages."
P2,https://anyconverter.io/pdf-forms/,pdf-forms\index.html,en,tool,yes,0,372,0%,81.19,convert pdf to fillable form,convert pdf to fillable form free; convert pdf to fillable form online; convert pdf into fillable form online; convert pdf to form fillable online,Fill PDF Forms Online Free | AnyConverter,41,154,Fill PDF Forms Online,265,Thin visible content (265 words); Primary GSC keyword not fully aligned on-page,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use 'convert pdf to fillable form' naturally in the title/meta/H1 or first SEO section where it reads well. High-impression but low-rank page: improve content depth and add contextual internal links from related pages."
